pPoliceID,pPoliceNameEn,pPoliceNameAr
1,days in advance can guests cancel free of charge,عدد الأيام التي يمكن للضيف الغاء الحجز بدون رسوم
2,or guests will pay 100%,خلاف ذلك سيدفع الزبون 100%
3,Protect against accidental bookings,الحماية من الحجوزات الوهمية
4,Check-in from,وقت النزول الى الفندق من
5,Check-in to,وقت النزول الى الفندق الى
6,Check-out from,وقت الخروج الى الفندق من
7,Check-out to,وقت الخروج الى الفندق الى
8,Children,الأطفال
9,allow pets,السماح للحيوانات
10,additional charges for pets,رسوم اضافية على الحيوانات