pID,pPoliceID,pOptionEn,pOptionAr
1,1,Day of arrival (18:00),يوم الوصول (18:00)
2,1,1 day,يوم 1
3,1,2 day,يومان
4,1,3 days,3 أيام
5,1,7 days,7 أيام
6,1,14 days,14 يوما
7,2,of the first night,الليلة الأولى
8,2,of the full stay,من الإقامة الكاملة
9,3,Yes,نعم
10,3,No,لا
11,4,12:00 PM,12:00 مسائا
12,4,2:00 PM,2:00:00 مسائا
13,4,3:00 PM,3:00:00 مسائا
14,5,12:00 PM,12:00 مسائا
15,5,10:00 PM,10:00 مسائا
16,5,12:00 AM,12:00 صباحا
17,6,12:00 AM,12:00 صباحا
18,6,10:00 AM,10:00 صباحا
19,6,12:00 PM,12:00 مسائا
20,7,10:00 AM,10:00 صباحا
21,7,11:00 AM,11:00 صباحا
22,7,12:00 PM,12:00 مسائا
23,8,Yes,نعم
24,8,No,لا
25,9,No,لا
26,9,Yes,نعم
27,9,Upon request,عند الطلب
28,10,Pets can stay for free (free),يمكن للحيوانات الأليفة الإقامة مجانًا (مجانًا)
29,10,Charges may apply(paid),قد يتم تطبيق رسوم (مدفوعة)
30,10,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,